,toss_decision,avgTeam1,avgTeam2,avgWckTeam1,avgWckTeam2,team1_toss_win,team1_bat
277,1,0.8146067415730337,0.7134831460674157,0.8333333333333333,0.8333333333333333,0.0,0
278,1,0.8146067415730337,0.6910112359550562,0.8333333333333333,0.6666666666666666,0.0,0
279,0,0.7191011235955056,0.7752808988764045,0.8333333333333333,0.6666666666666666,1.0,1
280,0,0.8314606741573034,0.747191011235955,0.8333333333333333,0.8333333333333333,1.0,1
281,0,0.8146067415730337,0.7191011235955056,0.8333333333333333,0.8333333333333333,1.0,1
282,1,0.7752808988764045,0.747191011235955,0.6666666666666666,0.8333333333333333,0.0,0
283,0,0.8314606741573034,0.8595505617977528,0.8333333333333333,0.8333333333333333,1.0,1
284,0,0.7134831460674157,0.8146067415730337,0.8333333333333333,0.8333333333333333,1.0,1
285,0,0.7752808988764045,0.6910112359550562,0.6666666666666666,0.6666666666666666,1.0,1
286,1,0.8146067415730337,0.747191011235955,0.8333333333333333,0.8333333333333333,0.0,0
287,0,0.8595505617977528,0.7134831460674157,0.8333333333333333,0.8333333333333333,1.0,1
288,0,0.8146067415730337,0.7191011235955056,0.8333333333333333,0.8333333333333333,1.0,1
289,0,0.6910112359550562,0.7752808988764045,0.6666666666666666,0.6666666666666666,1.0,1
290,1,0.8146067415730337,0.8314606741573034,0.8333333333333333,0.8333333333333333,0.0,0
291,0,0.747191011235955,0.7191011235955056,0.8333333333333333,0.8333333333333333,1.0,1
292,0,0.8595505617977528,0.8146067415730337,0.8333333333333333,0.8333333333333333,1.0,1
293,0,0.7134831460674157,0.7191011235955056,0.8333333333333333,0.8333333333333333,1.0,1
294,0,0.6910112359550562,0.8314606741573034,0.6666666666666666,0.8333333333333333,1.0,1
295,1,0.8595505617977528,0.747191011235955,0.8333333333333333,0.8333333333333333,0.0,0
296,1,0.8146067415730337,0.8146067415730337,0.8333333333333333,0.8333333333333333,0.0,0
297,0,0.7752808988764045,0.7134831460674157,0.6666666666666666,0.8333333333333333,1.0,1
298,0,0.7191011235955056,0.6910112359550562,0.8333333333333333,0.6666666666666666,1.0,1
299,1,0.8314606741573034,0.8146067415730337,0.8333333333333333,0.8333333333333333,0.0,0
300,1,0.747191011235955,0.8146067415730337,0.8333333333333333,0.8333333333333333,0.0,0
301,1,0.6910112359550562,0.8595505617977528,0.6666666666666666,0.8333333333333333,0.0,0
302,1,0.8146067415730337,0.7191011235955056,0.8333333333333333,0.8333333333333333,0.0,0
303,0,0.747191011235955,0.7134831460674157,0.8333333333333333,0.8333333333333333,1.0,1
304,1,0.7752808988764045,0.8595505617977528,0.6666666666666666,0.8333333333333333,0.0,0
305,0,0.6910112359550562,0.7191011235955056,0.6666666666666666,0.8333333333333333,1.0,1
306,0,0.8146067415730337,0.8314606741573034,0.8333333333333333,0.8333333333333333,1.0,1
307,1,0.8146067415730337,0.747191011235955,0.8333333333333333,0.8333333333333333,0.0,0
308,1,0.7134831460674157,0.8595505617977528,0.8333333333333333,0.8333333333333333,0.0,0
309,0,0.8314606741573034,0.7752808988764045,0.8333333333333333,0.6666666666666666,1.0,1
310,1,0.7134831460674157,0.747191011235955,0.8333333333333333,0.8333333333333333,0.0,0
311,1,0.8595505617977528,0.8314606741573034,0.8333333333333333,0.8333333333333333,0.0,0
